"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"04013107102",38,238,38,97,131,94,472,42,252,126,176,15,1
"04013107201",9,4,0,0,0,0,92,80,27,19,6,0,5463
"04013109001",58,35,45,0,61,0,287,407,240,323,82,131,95
"04013109101",113,183,106,53,150,65,0,67,33,24,50,92,2
"04013109102",41,149,362,269,130,54,182,148,93,119,64,26,0
"04013109200",0,368,43,74,41,52,270,276,225,89,67,47,0
"04013109300",76,130,173,214,88,257,0,108,0,0,87,33,5
"04013109900",98,294,286,399,104,206,124,224,125,14,51,26,7
"04013110001",150,36,123,189,166,105,53,20,16,0,83,29,0
"04013110002",60,336,140,171,174,109,43,127,50,50,104,15,0
"04013110100",155,79,210,116,75,128,216,257,203,163,60,53,0
"04013112100",53,191,173,103,127,71,49,76,138,0,34,42,2
"04013112201",78,142,115,78,255,165,72,117,189,7,46,44,16
"04013112202",61,207,44,134,166,85,401,201,66,8,4,70,113
"04013112301",54,105,137,251,79,128,370,514,205,41,84,29,0
"04013112302",147,121,177,186,163,128,378,351,296,79,163,0,0
"04013112401",65,210,407,144,226,95,51,135,216,57,71,25,0
"04013112402",178,166,80,231,293,59,62,69,13,87,81,0,0
"04013112507",0,5,18,48,10,20,93,530,196,65,28,18,0
"04013112601",27,19,111,20,139,28,370,212,96,66,74,0,0
"04013116900",37,105,79,56,82,0,44,52,77,23,29,0,463
