"geoid","MC","NS","SM","NF","GQ"
"04013040502",1005,123,1211,170,113
"04013040515",1422,133,454,159,2
"04013040516",3347,374,699,207,0
"04013050603",1219,229,634,53,11
"04013050604",739,237,273,39,104
"04013050609",1181,252,503,90,0
"04013050611",1247,243,135,145,0
"04013050701",1279,420,386,211,0
"04013050702",1128,539,750,120,9
"04013723304",1414,542,559,170,7
"04013723305",380,22,327,91,37
"04013723306",26,4,0,0,6370
"04013940700",0,0,0,0,0
"04013941000",185,375,90,2,14
"04013941100",0,0,15,0,0
"04013980100",4,0,0,0,0
