"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"060379001021",277,6,263,48
"060379001031",718,85,654,670
"060379001032",641,51,881,759
"060379001033",603,28,792,618
"060379001041",782,58,728,617
"060379001042",763,105,707,817
"060379001043",655,70,682,567
"060379012091",321,29,446,89
"060379012101",886,89,517,310
"060379100021",1524,72,1237,898
"060379100022",932,50,836,652
"060379100023",605,18,268,196
"060379108041",1535,9,1031,396
"060379108081",917,23,820,484
"060379108082",930,20,410,407
"060379108101",1260,146,861,647
"060379110011",276,59,417,160
"060379110012",227,54,272,96
"060379110013",600,13,787,244
"060379200151",1605,107,908,470
"060379200152",1718,67,715,529
"060379200161",728,33,195,356
"060379200162",1645,41,1271,1076
"060379200201",1013,27,538,261
"060379200202",1303,91,583,341
"060379200203",859,72,502,443
"060379201021",447,92,323,191
"060379201022",248,67,252,132
"060379201023",1338,84,845,739
"060379201041",1287,148,674,878
"060379201061",1728,112,901,975
"060379201161",218,15,50,104
"060379201162",1034,0,573,487
"060379201181",926,60,476,347
"060379201182",727,20,424,372
"060379201191",1027,7,421,447
"060379202001",0,0,3604,0
"060379203031",1047,103,317,237
"060379203261",1799,280,991,832
"060379203262",429,23,373,202
"060379203381",530,14,280,266
"060379203391",2161,172,889,1381
"060379800031",0,0,0,0
