"geoid","gq_pop"
"06037211121",136
"06037211122",130
"06037211201",93
"06037211202",0
"06037211310",16
"06037211320",15
"06037211410",65
"06037211420",21
"06037211802",38
"06037211803",4
"06037211804",63
"06037211910",77
"06037211921",0
"06037211922",0
"06037212101",0
"06037212102",0
"06037212202",23
"06037212203",212
"06037212204",3
"06037212303",6
"06037212304",0
"06037212305",56
"06037212306",24
"06037212410",0
"06037212420",47
"06037212501",0
"06037212502",0
"06037213201",0
"06037213202",97
"06037213310",38
"06037213320",93
"06037213401",26
"06037213402",113
