"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"12031014311",10,189,213,63,395,434,29,81,446,0,59,91,48
"12031014500",56,286,127,0,220,394,0,0,383,0,9,145,9
"12031014601",0,606,265,59,124,676,17,0,725,0,0,88,0
"12031014603",30,291,108,37,615,331,0,21,770,0,0,75,0
"12031014604",250,207,82,159,1368,302,66,63,513,25,0,53,39
"12031014702",39,154,51,0,330,220,0,0,185,0,0,125,2
"12031014800",358,150,96,57,512,195,0,418,461,0,0,50,1656
"12031014901",48,191,465,5,351,342,18,51,482,18,47,283,0
"12031014902",39,305,191,34,955,510,51,289,810,0,0,189,0
"12031015001",11,496,99,79,462,538,0,70,584,0,0,213,0
"12031015002",38,209,270,0,413,148,0,143,309,0,0,119,1
"12031015100",64,199,66,73,308,315,0,0,403,0,0,214,23
"12031015200",8,199,150,31,425,192,0,147,304,0,0,56,0
"12031015300",161,259,87,135,372,284,0,16,258,0,0,29,0
"12031015400",25,75,28,10,220,327,0,67,155,0,0,8,29
"12031015501",113,151,43,79,363,271,0,57,395,25,0,69,132
"12031015502",369,125,11,154,549,306,0,31,269,0,22,45,103
"12031015600",59,286,98,8,386,295,0,119,445,0,0,112,14
