"geoid","0","1","2","3+","GQ"
"25017322100",285,426,630,268,4
"25017322200",582,701,648,79,19
"25017322300",882,1060,647,123,47
"25017322400",400,803,673,155,0
"25017324101",542,686,723,213,130
"25017324102",373,421,632,214,22
"25017361100",713,616,735,111,228
"25017361200",685,870,561,107,646
"25017361300",784,618,681,109,330
"25017362100",455,530,652,139,6
"25017363103",326,467,412,127,0
"25017363104",543,591,993,271,33
"25017363201",292,337,543,120,5
"25017363202",191,399,639,187,5
"25017364101",566,906,969,161,10
"25017364102",613,890,652,64,31
"25017365100",434,821,1093,175,4
"25017365201",374,547,914,170,73
"25017365202",454,506,663,128,109
"25017388100",363,866,842,208,0
"25017980000",0,0,0,0,0
"25027715100",232,719,893,132,9
