"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"250250105001",614,144,768,0
"250250105002",231,10,894,0
"250250105003",526,0,210,45
"250250106001",838,8,521,127
"250250106002",783,5,354,150
"250250107011",539,48,618,32
"250250107012",505,11,152,58
"250250107013",571,10,24,12
"250250107021",558,0,269,5
"250250107022",361,18,168,9
"250250107023",613,6,235,19
"250250108011",452,17,224,7
"250250108012",388,1,263,29
"250250108013",742,22,262,60
"250250108021",829,14,247,29
"250250108022",962,58,273,46
"250250108023",254,10,146,0
"250250201011",306,71,107,146
"250250201012",672,22,216,80
"250250201013",675,0,398,22
"250250201014",729,12,164,0
"250250202001",691,11,381,72
"250250202002",889,13,51,71
"250250202003",979,39,26,35
"250250203011",1690,40,568,220
"250250203021",825,27,202,94
"250250301001",692,9,165,41
"250250301002",761,10,69,2
"250250302001",744,0,66,0
"250250304001",367,0,43,36
"250250304002",817,62,218,0
"250250305001",469,41,204,82
"250250305002",684,1,107,42
"250250305003",484,23,80,0
"250250401001",785,10,271,245
"250250401002",990,18,130,268
"250250402001",245,44,217,303
"250250402002",451,8,169,233
"250250403001",219,28,75,181
"250250403002",1238,34,65,300
"250250403003",459,0,93,40
"250250403004",560,0,174,189
"250250403005",635,16,63,458
"250250404011",1256,57,421,354
"250250404012",525,19,170,80
"250250406001",1567,13,246,186
"250250406002",1342,72,283,355
"250250408011",214,40,171,269
"250250408012",518,45,387,211
"250250408013",1537,69,312,99
"250250501011",1084,24,238,513
"250250501012",499,53,589,144
"250250501013",884,24,407,432
"250250502001",1373,171,263,522
"250250502002",1135,41,347,414
"250250502003",356,23,8,123
"250250502004",526,10,55,242
"250250503001",1085,87,172,476
"250250503002",270,19,249,112
"250250504001",319,41,165,179
"250250504002",1068,0,313,89
"250250505001",1370,104,254,165
"250250506001",1096,0,192,300
"250250506002",631,15,75,199
"250250507001",823,8,186,404
"250250507002",996,272,161,330
"250250507003",751,29,122,98
"250250509011",995,224,559,394
"250250509012",896,10,80,135
"250250509013",433,19,71,53
"250250510001",1555,48,419,225
"250250510002",719,14,418,55
"250250510003",945,82,159,289
"250250511011",797,17,199,234
"250250511012",1194,265,762,601
"250250511013",892,59,282,167
"250250511014",476,43,167,69
"250250512001",912,98,83,6
"250250512002",645,38,326,199
"250250512003",811,8,127,75
"250250704021",1529,24,443,72
"250250706001",675,18,130,166
"250250706002",771,20,140,336
"250250707001",757,152,400,126
"250250707002",843,19,228,107
"250250711011",1044,24,498,69
"250250711012",504,16,181,260
"250250711013",715,0,371,93
"250250712011",609,34,233,20
"250250712012",526,49,550,130
"250259813001",33,0,17,0
"250259815021",0,0,0,0
"250259816001",0,0,0,0
"250259817001",0,0,0,0
