"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"250250105001",13,38,5,0,0,0,259,118,50,0,0,0,276
"250250105002",34,72,0,0,0,0,531,152,15,0,0,0,276
"250250105003",26,71,0,0,0,0,213,127,35,0,0,0,276
"250250106001",78,157,27,25,0,0,344,221,48,0,0,0,0
"250250106002",0,6,0,0,0,0,385,297,84,0,3,0,0
"250250107011",48,85,19,0,10,3,194,115,38,2,0,0,131
"250250107012",88,31,29,5,0,0,127,116,13,0,0,0,131
"250250107013",78,9,0,6,0,0,260,61,43,0,0,0,131
"250250107021",100,55,23,17,0,0,133,176,9,0,0,0,40
"250250107022",37,68,47,0,0,0,81,22,7,0,0,0,40
"250250107023",161,181,29,0,0,5,170,26,0,0,0,0,41
"250250108011",39,56,0,0,0,0,197,18,14,2,0,0,109
"250250108012",79,32,0,32,2,7,217,45,0,0,0,0,109
"250250108013",92,157,7,9,4,0,309,84,49,0,0,0,108
"250250108021",70,145,11,6,4,0,182,183,0,0,0,0,41
"250250108022",160,190,10,9,0,0,303,186,5,0,0,0,40
"250250108023",14,78,6,0,0,0,103,52,8,0,0,0,41
"250250201011",81,135,55,0,0,0,108,0,0,0,0,0,3
"250250201012",82,151,0,35,0,0,196,121,0,0,0,0,3
"250250201013",297,200,13,0,0,0,101,96,22,0,0,0,2
"250250201014",105,172,40,0,0,0,180,73,0,0,0,0,3
"250250202001",0,27,33,0,0,0,478,205,50,0,0,0,0
"250250202002",73,136,22,19,0,0,248,116,15,0,0,0,0
"250250202003",78,25,0,22,0,0,320,238,28,0,0,0,0
"250250203011",142,66,0,34,0,0,522,297,232,71,0,0,84
"250250203021",52,138,33,17,0,8,228,159,25,0,0,0,0
"250250301001",36,21,41,0,0,0,319,166,21,0,0,0,0
"250250301002",28,15,0,0,0,2,164,196,82,0,0,0,0
"250250302001",29,14,0,0,0,0,230,217,24,0,0,0,0
"250250304001",125,18,0,0,0,0,131,38,26,0,0,0,33
"250250304002",39,14,25,0,0,17,304,215,37,0,0,0,32
"250250305001",74,135,43,31,0,0,42,27,0,0,0,0,29
"250250305002",98,30,30,0,0,0,264,70,59,0,0,0,28
"250250305003",45,12,0,0,0,0,162,148,18,0,0,0,28
"250250401001",94,210,28,17,36,23,139,49,0,0,0,0,5
"250250401002",134,96,7,76,17,0,97,212,17,4,0,0,5
"250250402001",0,0,0,8,0,0,51,46,65,36,26,23,0
"250250402002",57,67,133,20,13,5,41,22,0,0,0,0,0
"250250403001",25,19,0,0,0,0,31,18,55,9,34,0,0
"250250403002",223,152,98,67,0,0,198,71,29,28,0,0,0
"250250403003",84,149,35,1,0,0,0,34,0,9,0,0,0
"250250403004",108,20,63,69,0,0,45,86,16,0,0,0,0
"250250403005",42,82,42,18,96,0,61,48,28,0,0,0,0
"250250404011",83,135,44,38,0,0,226,82,181,119,0,0,17
"250250404012",119,119,89,22,0,0,39,22,0,0,0,0,17
"250250406001",59,23,35,63,7,11,563,272,12,57,0,0,8
"250250406002",121,228,177,92,13,0,83,163,41,0,0,0,9
"250250408011",56,0,0,0,0,0,122,129,0,0,49,0,5
"250250408012",0,0,0,0,0,0,44,246,112,33,14,27,5
"250250408013",632,193,49,12,0,0,203,253,32,0,0,0,4
"250250501011",123,19,9,0,12,0,0,48,19,0,71,139,22
"250250501012",52,100,0,0,0,0,405,66,135,11,0,0,22
