"geoid","MC","NS","SM","NF","GQ"
"25025010500",329,72,1076,282,828
"25025010600",578,204,1030,234,0
"25025010701",303,18,795,264,393
"25025010702",475,15,682,175,121
"25025010801",346,25,933,147,326
"25025010802",478,109,832,306,122
"25025020101",606,183,1150,324,11
"25025020200",480,33,1197,423,0
"25025020301",303,14,664,383,84
"25025020302",174,27,280,179,0
"25025030100",87,56,547,401,0
"25025030200",103,7,516,353,0
"25025030400",289,69,1274,785,65
"25025030500",320,33,685,250,85
"25025040100",481,107,464,204,10
"25025040200",246,175,149,43,0
"25025040300",991,197,817,188,0
"25025040401",494,273,467,84,34
"25025040600",577,158,826,459,17
"25025040801",450,498,1057,201,14
"25025050101",427,431,702,121,65
"25025050200",585,413,381,420,7
"25025050300",512,138,1048,207,17
"25025050400",260,120,495,190,0
"25025050500",179,86,486,259,0
"25025050600",222,223,177,215,0
"25025050700",391,383,395,395,19
"25025050901",449,486,156,277,0
"25025051000",693,272,760,352,6
"25025051101",1011,408,703,539,114
"25025051200",447,76,581,633,20
"25025070402",413,172,1031,396,2
"25025070600",366,24,500,231,10
"25025070700",368,241,491,359,0
"25025071101",486,262,1119,415,390
"25025071201",609,272,745,278,269
"25025981300",19,0,13,0,0
"25025981502",0,0,0,0,0
"25025981600",0,0,0,0,0
"25025981700",0,0,0,0,0
