"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"25025010500",71,1275,311,530,715
"25025010600",471,525,323,496,1478
"25025010701",156,518,243,290,1150
"25025010702",44,277,114,196,1448
"25025010801",113,619,210,154,1188
"25025010802",106,405,293,369,1612
"25025020101",391,185,264,393,2327
"25025020200",281,538,281,371,1841
"25025020301",347,456,194,289,1292
"25025020302",119,125,126,129,610
"25025030100",67,332,317,336,633
"25025030200",14,200,196,390,705
"25025030400",290,458,222,758,2220
"25025030500",196,391,264,321,1041
"25025040100",810,282,236,152,1483
"25025040200",797,365,143,134,365
"25025040300",1845,293,272,343,2667
"25025040401",632,636,296,250,1230
"25025040600",854,523,405,518,1869
"25025040801",855,986,520,271,1430
"25025050101",1720,1247,1006,470,639
"25025050200",1922,1172,1167,672,1036
"25025050300",956,1096,601,445,753
"25025050400",424,422,345,267,559
"25025050500",251,394,282,293,660
"25025050600",788,521,663,248,454
"25025050700",1198,914,911,400,801
"25025050901",830,838,843,544,735
"25025051000",899,1114,780,844,1309
"25025051101",1616,1298,1211,749,1240
"25025051200",435,348,419,629,1378
"25025070402",297,879,352,223,1166
"25025070600",749,113,88,224,1254
"25025070700",368,434,315,332,1063
"25025071101",848,1069,417,481,1448
"25025071201",971,995,359,263,1376
"25025981300",0,0,8,4,38
"25025981502",0,0,0,0,0
"25025981600",0,0,0,0,0
"25025981700",0,0,0,0,0
