"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"25025010500",860,60,16,316,210,99,81,67,21,29,0,0,828
"25025010600",348,245,25,427,533,40,158,175,95,0,0,0,0
"25025010701",160,72,48,371,334,47,70,163,65,0,30,20,393
"25025010702",127,73,48,363,269,78,85,237,57,0,0,10,121
"25025010801",136,127,0,518,336,87,72,78,65,18,0,14,326
"25025010802",111,148,0,498,380,97,136,250,97,0,0,8,122
"25025020101",230,223,0,359,702,173,297,240,39,0,0,0,11
"25025020200",311,19,0,688,359,33,357,255,68,28,0,15,0
"25025020301",339,40,0,405,143,0,223,131,13,35,33,2,84
"25025020302",89,30,0,198,67,7,145,102,13,9,0,0,0
"25025030100",167,26,0,290,120,7,199,158,19,99,4,2,0
"25025030200",106,7,0,329,135,30,173,73,75,32,7,12,0
"25025030400",296,37,30,522,373,215,402,448,51,18,0,25,65
"25025030500",119,133,14,353,249,30,145,157,22,51,5,10,85
"25025040100",159,81,26,39,252,40,60,378,192,0,17,12,10
"25025040200",72,81,4,100,207,17,21,40,63,0,0,8,0
"25025040300",50,151,0,310,581,14,66,683,311,18,0,9,0
"25025040401",77,110,21,158,302,64,20,309,161,0,68,28,34
"25025040600",73,78,11,208,651,63,93,548,212,15,10,58,17
"25025040801",70,369,8,206,875,162,50,192,247,0,0,27,14
"25025050101",380,162,30,90,307,156,45,142,37,101,35,196,65
"25025050200",136,157,11,221,199,31,261,207,114,108,161,193,7
"25025050300",354,222,0,385,314,35,131,236,116,53,48,11,17
"25025050400",197,55,0,136,255,0,108,172,67,12,30,33,0
"25025050500",18,95,5,135,360,10,85,175,59,11,48,9,0
"25025050600",1,56,21,134,125,38,156,114,41,92,53,6,0
"25025050700",92,16,40,418,296,8,102,254,33,70,120,115,19
"25025050901",36,63,0,76,369,75,274,197,60,46,95,77,0
"25025051000",151,235,33,124,486,65,54,214,319,55,306,35,6
"25025051101",395,158,139,30,486,390,73,287,487,0,78,138,114
"25025051200",159,127,0,106,405,92,50,474,238,7,24,55,20
"25025070402",525,146,0,306,544,0,109,257,111,7,7,0,2
"25025070600",113,19,0,126,319,102,32,212,188,0,0,10,10
"25025070700",93,145,11,325,297,65,97,351,64,0,0,11,0
"25025071101",369,250,42,316,683,80,203,188,124,9,0,18,390
"25025071201",221,319,25,221,365,180,92,293,146,24,0,18,269
"25025981300",0,9,0,4,9,0,0,0,10,0,0,0,0
"25025981502",0,0,0,0,0,0,0,0,0,0,0,0,0
"25025981600",0,0,0,0,0,0,0,0,0,0,0,0,0
"25025981700",0,0,0,0,0,0,0,0,0,0,0,0,0
