"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"25021416101",2076,1068,480,521,2255
"25021416102",635,1393,459,249,1194
"25021416200",1901,1620,823,377,2070
"25021416300",1779,1103,456,331,1828
"25021416400",2605,904,436,336,2525
"25021417100",1194,1500,789,725,1516
"25021417300",173,634,525,538,1500
"25021417400",548,744,288,231,896
"25021417501",1284,1328,629,1097,1267
"25021417502",643,1124,832,673,1341
"25021417601",816,1334,826,625,1257
"25021417602",761,1195,751,905,1089
"25021417702",722,506,372,256,891
"25021417801",1832,1369,969,607,1947
"25021417802",805,1039,450,253,408
"25021417901",539,2479,1307,1068,1351
"25021417902",564,1011,576,669,1048
"25021418002",2206,921,912,878,2396
"25021418003",268,469,433,435,1080
"25021418004",1173,1422,1093,644,1049
"25021418101",1258,810,761,538,1502
"25021418102",687,689,638,577,1336
