"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"481576701011",36,63,46,25,0,5,0,30,0,114,0,21,0
"481576701012",78,92,21,51,74,43,0,35,100,0,22,36,0
"481576701013",49,27,0,14,42,11,4,85,0,0,10,13,0
"481576701014",126,146,57,165,43,39,62,25,56,83,25,0,0
"481576701021",126,47,56,21,0,0,0,0,12,0,0,0,0
"481576701022",116,178,142,111,3,0,48,139,22,25,59,55,0
"481576703001",128,152,9,48,17,18,54,42,3,20,49,0,0
"481576703002",97,227,0,46,135,53,51,105,0,39,13,0,0
"481576704001",123,135,8,20,0,26,131,16,70,0,21,11,8
"481576704002",188,66,35,13,0,29,0,0,0,0,0,104,7
"481576704003",101,219,104,55,14,7,24,65,15,30,16,0,8
"481576705001",0,66,24,90,20,29,0,10,0,76,0,0,7
"481576705002",6,182,80,70,45,47,7,96,14,0,16,0,7
"481576706021",193,98,84,72,44,4,29,55,50,23,5,30,0
"481576710011",81,215,180,163,42,0,21,0,0,0,0,0,24
"481576710012",192,407,20,9,0,8,59,0,0,75,9,0,24
"481576710013",187,142,86,45,15,0,57,0,0,0,0,0,24
"481576710014",0,61,35,35,2,0,0,0,0,0,0,0,24
"481576710021",177,370,10,40,6,29,110,48,21,32,37,0,2
"481576710022",115,279,51,14,17,35,0,0,0,58,0,0,2
"481576710023",53,89,78,53,13,59,19,46,90,0,12,0,2
"481576710024",40,196,70,0,0,0,0,0,0,0,0,0,2
"481576712001",29,165,103,17,42,16,173,27,114,92,0,0,18
"481576712002",29,65,70,88,8,0,9,22,22,50,0,0,18
"481576715011",79,181,142,40,0,0,67,0,85,0,0,0,65
"481576715012",73,177,29,51,119,36,0,0,0,0,48,0,65
"481576715013",99,343,182,169,17,0,0,0,26,0,0,0,65
"481576715014",38,168,69,78,0,3,167,165,0,42,0,0,65
"481576715021",96,210,52,48,81,21,2,9,32,4,0,0,0
