"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"48015760100",369,375,276,337,108,241,215,184,284,119
"48015760400",404,175,357,525,315,409,175,339,543,300
"48015760501",483,423,336,714,262,369,376,309,689,318
"48015760502",775,460,557,514,430,879,424,548,533,418
"48089750100",576,714,350,481,315,492,394,178,566,256
"48089750200",373,196,97,306,211,143,107,199,165,203
"48089750300",597,383,510,798,415,381,446,351,748,462
"48089750400",374,304,259,776,389,528,385,296,950,639
"48089750500",789,419,453,426,219,646,468,482,554,237
"48321730100",268,286,206,367,90,951,242,240,336,158
"48321730202",75,22,72,111,175,141,74,136,149,202
"48321730301",397,535,272,267,224,590,504,299,334,268
"48321730302",396,860,713,351,186,449,981,568,243,131
"48321730303",0,80,153,67,60,77,0,76,84,108
"48321730400",593,291,136,394,89,346,316,143,446,80
"48321730600",750,573,701,783,334,451,277,444,1188,459
"48321730700",381,430,103,472,232,492,362,169,408,225
"48321990000",0,0,0,0,0,0,0,0,0,0
"48473680100",1715,1032,1753,993,243,2277,1339,1552,1065,238
"48481740100",534,456,531,614,247,512,312,712,620,486
"48481740200",261,167,151,163,65,272,140,184,181,111
"48481740300",352,197,120,137,63,154,212,47,167,78
"48481740400",613,734,575,705,446,927,635,398,849,568
"48481740500",239,493,169,457,76,340,267,418,459,257
"48481740600",585,264,362,387,294,565,399,310,386,239
"48481740700",140,264,125,215,77,234,137,89,203,83
"48481740800",579,476,297,381,170,405,527,229,550,259
"48481741000",912,526,412,613,191,471,558,476,489,222
"48481741100",187,268,134,427,156,224,275,174,290,158
