STATEFP,COUNTYFP,TRACTCE,PUMA5CE
1,1,20100,2100
1,1,20200,2100
1,1,20300,2100
1,1,20400,2100
1,1,20500,2100
1,1,20600,2100
1,1,20700,2100
1,1,20801,2100
1,1,20802,2100
1,1,20900,2100
1,1,21000,2100
1,1,21100,2100
1,3,10100,2600
1,3,10200,2600
1,3,10300,2600
1,3,10400,2600
1,3,10500,2600
1,3,10600,2600
1,3,10701,2600
1,3,10703,2600
1,3,10704,2600
1,3,10705,2600
1,3,10800,2600
1,3,10903,2600
1,3,10904,2600
1,3,10905,2600
1,3,10906,2600
1,3,11000,2600
1,3,11101,2600
1,3,11102,2600
1,3,11201,2600
1,3,11202,2600
1,3,11300,2600
1,3,11401,2600
1,3,11403,2600
1,3,11405,2600
1,3,11406,2600
1,3,11407,2600
1,3,11408,2600
1,3,11501,2600
1,3,11502,2600
1,3,11601,2600
1,3,11602,2600
1,3,990000,2600
1,5,950100,2400
1,5,950200,2400
1,5,950300,2400
1,5,950400,2400
1,5,950500,2400
1,5,950600,2400
1,5,950700,2400
1,5,950800,2400
1,5,950900,2400
1,7,10001,1700
1,7,10002,1700
1,7,10003,1700
1,7,10004,1700
1,9,50101,800
1,9,50102,800
1,9,50200,800
1,9,50300,800
1,9,50400,800
1,9,50500,800
1,9,50601,800
1,9,50602,800
1,9,50700,800
1,11,952100,2400
1,11,952200,2400
1,11,952500,2400
1,13,952700,2300
1,13,952800,2300
1,13,952900,2300
1,13,953000,2300
1,13,953100,2300
1,13,953200,2300
1,13,953300,2300
1,13,953400,2300
1,13,953500,2300
1,15,200,1100
1,15,300,1100
1,15,400,1100
1,15,500,1100
1,15,600,1100
1,15,700,1100
1,15,800,1100
1,15,900,1100
1,15,1000,1100
1,15,1100,1100
1,15,1201,1100
1,15,1202,1100
1,15,1300,1100
1,15,1400,1100
1,15,1500,1100
1,15,1600,1100
1,15,1700,1100
1,15,1800,1100
1,15,2000,1100
1,15,2101,1100
1,15,2102,1100
