HHID,tenur,hhinc,nwork,ncars,nchil,hhsiz,true_hhsiz,true_nwork,true_nchil,hhtype,puma,i_age,i_sex,race_,i_eth,i_inc,emply,indus,edu_q,tenur_prox,geoid
1,Owned with mortgage or loan,>150K,2,2+,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250706002
2,Rented,1-25K,0,1,0,2,2,0,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250702001
3,Rented,51-75K,2,1,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250107022
4,Rented,>150K,2,1,1,3,3,2,1,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250305002
5,Rented,51-75K,2,2+,1,4,4,2,1,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250510002
6,Rented,76-100K,1,0,1,3,3,1,1,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250708001
7,Owned with mortgage or loan,>150K,2,1,0,4,4,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250711011
8,Rented,1-25K,0,0,0,2,2,0,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250503002
9,Rented,26-50K,3+,0,0,3,3,3,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250510001
10,Owned with mortgage or loan,>150K,2,2+,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250305002
11,Rented,51-75K,3+,1,1,5,5,4,1,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250506001
12,Rented,51-75K,2,0,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250705001
13,Rented,26-50K,2,1,3+,6+,7,2,3,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250501013
14,Rented,26-50K,1,0,2+,4,4,1,2,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250402001
15,Rented,51-75K,2,1,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250107022
16,Owned free and clear,>150K,1,0,0,2,2,1,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250201013
17,Owned with mortgage or loan,>150K,2,2+,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250703004
18,Owned with mortgage or loan,51-75K,2,1,2+,4,4,2,2,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250502001
19,Owned with mortgage or loan,>150K,1,1,0,2,2,1,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250108021
20,Owned with mortgage or loan,>150K,1,2+,3+,6+,7,1,3,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250502002
21,Owned free and clear,>150K,0,1,0,2,2,0,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250106001
22,Rented,1-25K,0,0,0,2,2,0,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250105002
23,Owned with mortgage or loan,>150K,2,2+,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250403004
24,Owned free and clear,76-100K,1,1,0,2,2,1,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250701012
25,Owned free and clear,>150K,1,2+,0,2,2,1,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250301001
26,Rented,>150K,2,2+,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250107021
27,Rented,1-25K,1,0,2+,4,4,1,2,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250701017
28,Rented,1-25K,1,0,2+,4,4,1,2,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250403001
29,Owned with mortgage or loan,>150K,2,1,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250401001
30,Owned free and clear,>150K,1,2+,1,3,3,1,1,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250706001
31,Owned with mortgage or loan,>150K,2,2+,0,3,3,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250108022
32,Owned with mortgage or loan,>150K,2,1,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250406002
33,Owned with mortgage or loan,>150K,1,2+,0,2,2,1,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250401002
34,Rented,1-25K,2,0,2+,4,4,2,2,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250501013
35,Owned free and clear,>150K,1,1,0,2,2,1,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250703004
36,Owned with mortgage or loan,>150K,2,2+,0,3,3,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250711012
37,Rented,101-150K,2,0,0,4,4,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250511011
38,Rented,51-75K,2,0,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250203012
39,Owned free and clear,51-75K,0,1,0,2,2,0,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250701015
40,Rented,1-25K,1,1,0,2,2,1,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250303001
41,Rented,51-75K,2,1,2+,4,4,2,2,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250503002
42,Owned free and clear,101-150K,0,1,0,2,2,0,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250705003
43,Rented,>150K,2,1,1,4,4,2,1,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250303002
44,Rented,>150K,2,0,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250701014
45,Owned free and clear,101-150K,0,1,0,2,2,0,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250108011
46,Rented,76-100K,3+,2+,2+,5,5,3,2,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250705004
47,Rented,>150K,2,2+,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250303004
48,Rented,26-50K,2,0,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250708002
49,Owned free and clear,51-75K,1,2+,0,5,5,1,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250502002
50,Owned with mortgage or loan,>150K,2,1,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250202002
51,Rented,1-25K,2,0,1,5,5,2,1,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250501012
52,Rented,76-100K,2,1,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250701014
53,Owned with mortgage or loan,>150K,1,0,0,3,3,1,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250403003
54,Rented,51-75K,2,2+,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250201014
55,Rented,51-75K,2,1,3+,6+,8,2,3,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250511011
56,Rented,51-75K,2,0,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250203012
57,Owned with mortgage or loan,>150K,2,1,1,3,3,2,1,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250403003
58,Owned with mortgage or loan,>150K,2,2+,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250202002
59,Rented,76-100K,2,1,1,3,3,2,1,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250403002
60,Rented,>150K,2,1,0,2,2,2,0,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250506001
61,Owned with mortgage or loan,101-150K,1,1,2+,4,4,1,2,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Owned,250250404012
62,Rented,26-50K,2,1,2+,4,4,2,2,MC,2503302,NA,NA,NA,NA,NA,NA,NA,NA,Rented,250250502004
