HHID,tenur,hhinc,nwork,ncars,nchil,hhsiz,true_hhsiz,true_nwork,true_nchil,hhtype,puma,i_age,i_sex,race_,i_eth,i_inc,emply,indus,edu_q,tenur_hhinc_prox,tenur_hhsiz_prox,tenur_prox
1,Owned free and clear,51-75K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.51-75K,Owned.2,Owned
2,Owned with mortgage or loan,51-75K,1,2+,0,3,3,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.51-75K,Owned.3,Owned
3,Rented,101-150K,2,2+,0,3,3,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Rented.101-150K,Rented.3,Rented
4,Owned free and clear,51-75K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.51-75K,Owned.2,Owned
5,Owned with mortgage or loan,101-150K,1,2+,0,3,3,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.101-150K,Owned.3,Owned
6,Owned free and clear,76-100K,2,2+,0,2,2,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.76-100K,Owned.2,Owned
7,Owned free and clear,26-50K,2,2+,3+,5,5,2,3,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.26-50K,Owned.5,Owned
8,Owned with mortgage or loan,76-100K,2,2+,0,3,3,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.76-100K,Owned.3,Owned
9,Owned free and clear,51-75K,1,1,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.51-75K,Owned.2,Owned
10,Owned free and clear,>150K,1,2+,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.>150K,Owned.2,Owned
11,Owned with mortgage or loan,51-75K,2,2+,0,2,2,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.51-75K,Owned.2,Owned
12,Owned free and clear,>150K,1,2+,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.>150K,Owned.2,Owned
13,Owned with mortgage or loan,>150K,1,2+,0,6+,7,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.>150K,Owned.6+,Owned
14,Owned free and clear,101-150K,1,2+,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.101-150K,Owned.2,Owned
15,Owned with mortgage or loan,101-150K,1,2+,1,4,4,1,1,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.101-150K,Owned.4,Owned
16,Owned with mortgage or loan,51-75K,1,2+,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.51-75K,Owned.2,Owned
17,Owned free and clear,>150K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.>150K,Owned.2,Owned
18,Rented,26-50K,1,1,0,3,3,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Rented.26-50K,Rented.3,Rented
19,Owned free and clear,101-150K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.101-150K,Owned.2,Owned
20,Owned with mortgage or loan,51-75K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.51-75K,Owned.2,Owned
21,Owned with mortgage or loan,51-75K,1,2+,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.51-75K,Owned.2,Owned
22,Owned free and clear,101-150K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned.101-150K,Owned.2,Owned
